customer_id,name,age,country,purchase_amount,age_group,email_hashed
0,Customer_0,62,USA,2130,Senior,a8bb638e09ffc903c73eb4f2ba17b26602aafcce9fc4a5b5d42c42a8c6a2373c
1,Customer_1,67,USA,2501,Senior,b822f99a7142e909d1b0df5b7f73270e083a1900bc11003d8e4dfcf5f53f7f5e
2,Customer_2,66,USA,3582,Senior,3280aa0fc5842471d1072ee83a22331e704560ced3ba5c63979a3abf9312f453
3,Customer_3,46,UK,3034,Adult,13272ebc99822fe837bbaf0d5a0be884de418312d2c250470c247b60eb3a88f5
4,Customer_4,51,USA,4471,Senior,c3215db9fc88df0945fdbb2b5a9f29788dcabc46c75d3c894a7d1b5634aaf29c
5,Customer_5,66,USA,3710,Senior,2a12a5923de4cf6666f1e89ca01b065eec143477a6efa563b072311ca3c58cf3
6,Customer_6,46,UK,3608,Adult,3e841ae4898519d25cafd84377b5696af94e69ec889b2d3c12cd6ca3752c9dad
7,Customer_7,49,USA,1026,Adult,a30ba77f041f5b9c4bcf7e3b9b2a8f66a6b9dd882ec669685f7801d38ce81dcf
8,Customer_8,61,UK,2900,Senior,25fee71d731d85ae1654c7fcabc363f7887adb1a104f49e95cf3c0c730f48ca1
9,Customer_9,25,UK,3225,Young,1d4370a0f1ac85ac1f0c1183e8ed78fc7cc995831b199074047cad2097a39908
10,Customer_10,69,UK,3917,Senior,4d5e7024c20aca1eb0205b8a902bd294b68eadca12a52d708e7bf214b59c4a3b
11,Customer_11,46,USA,801,Adult,cd9af1ab4d00e741a74188a71eb8830eb1d73e2adebaa0c6a73625f295e8efdd
12,Customer_12,32,India,679,Adult,24fb1c75d51c74bd4496e8eeae09f99fb90ccc5f42553fcaaa389bbf451ffc9d
13,Customer_13,65,UK,688,Senior,6c4220dc336e03f4be4d7d916278696f1be6978cdd1fdaa38434fff28ecaf691
14,Customer_14,49,India,2176,Adult,dc5b2fbd1dae63a336951321f5879d098082ad96b1233a9bb752e1ad0fae2bff
15,Customer_15,34,UK,3430,Adult,f0cdb8613392f37ba406280348845bbd1e50fa19eaa82d83ef94dee99d6f84c0
16,Customer_16,48,USA,2608,Adult,79e886216a2dad8c3797ad0b89752127c8feae9f42b7460e4c7fa634abfd3a03
17,Customer_17,24,UK,1175,Young,cec9536c745211f8e7fb15643be479769b875b136c8768c4f345b752cc559365
18,Customer_18,64,USA,4366,Senior,a136df67e5a9c22082a54a4a48f0389185cd2862e776bc29291130d9522b267c
19,Customer_19,22,UK,1277,Young,d19b66a8c5bf9d33fb84cf76af2ed0c09c92e706a47a7aff597eba216a1ca826
20,Customer_20,55,India,3363,Senior,09fed75942c734389d95ecff3e1103f629984a3e17b78f671edd02bea56c4ca9
21,Customer_21,30,USA,2841,Adult,bc1eef9687ed8f62154e9d59b4e648a763ada041710402ef3eaf7c8c58adf682
22,Customer_22,47,UK,1678,Adult,3403db770146d181fa68def75729c4cc58605aca54565e1dfdf49d60d0e7bb39
23,Customer_23,47,UK,522,Adult,5c39af1108be0f9e067a404559bf29b6096e203f558139f8229ec4fbab1275ae
24,Customer_24,58,USA,888,Senior,dc3f51a69608718d50f537d1834f0b7f3b4898a710b788cf424401768a2f26e0
25,Customer_25,23,USA,3884,Young,d187b4e3a79c36b6119a8c8247f5da00be437f75c31c5a86e40b254dcde94692
26,Customer_26,37,USA,2011,Adult,74438cdf774c9de2454d8059e82c570b1f95b892798582c80470ad39d477aa3d
27,Customer_27,70,UK,4189,Senior,88150201151fe248e7becdeb8dd6541c8b6718b2a64626f2c7f244b6b219557a
28,Customer_28,68,India,2139,Senior,857ef1c3f0d992f3c8fa1ab303a0fa34042d944ca07b8dd7f91441d736fff399
29,Customer_29,37,UK,2463,Adult,5a2870dddb8e748457d5cafb31c538df8920d7eafc02c1f98f4ba6c92d484fe6
30,Customer_30,53,India,1488,Senior,f6edb1938c6654c90eacefe5a1b895ef1f28e81fd3e1d90580440b7f6af41020
31,Customer_31,20,India,2354,Young,6854fa143442f6b4034852d63f9875a08593626cece7395e141889ed81f781c7
32,Customer_32,63,UK,963,Senior,2b017016ec6eb1f9670eb3ed88de4358ff71cdefe7b7328a0c580ed95dfc7b4d
33,Customer_33,55,UK,4968,Senior,22f95141d758e2f273f1d1fd5c1eaf0547af157d8a40af3e99ae176df21b27d8
34,Customer_34,23,USA,4626,Young,f61b07ca26268b9135af8023156b70e96176e60e90bf761a016c6aad625fb565
35,Customer_35,25,UK,502,Young,94df9e36edf0bab8820f384e19a840ec9f530760104066e69db0812fd93421f8
36,Customer_36,32,India,2378,Adult,6de1970f7fe53355fc12ca12e46861a799df2ec3cf1d56c133582f49f439be6d
37,Customer_37,47,India,3644,Adult,cc51d5806577c7810ce33dcf22c7f364eb18f5d3eacc7a841fb092160dc8bb92
38,Customer_38,54,USA,3128,Senior,89d93e6f90b9cf2661362f70cb83b6b3304ff34e4850c6f6223714ccc0e4f928
39,Customer_39,52,USA,4548,Senior,37544d97d386f440f7badf4b15761e6583b440c335f5471bbe178057fef7982f
40,Customer_40,40,USA,3262,Adult,0fac412c81bdc9f144a410e414fbbf89c349d0ba4538f09fa481ad90d7d60aa9
41,Customer_41,28,UK,2360,Young,59bb933004baa2fb1968c04b709cb141ac833b303d06de2aed028d5d02e390dd
42,Customer_42,62,USA,278,Senior,fa9c98b202dd18bd54024f06ca1662d558cb8c685b9d1fbef1da3ba288964885
43,Customer_43,51,India,1465,Senior,504679e868b234dd193660bc8de4188ff00c2246bbd6e69af5e536c65ad8b041
44,Customer_44,41,UK,4815,Adult,7a950ae1698b8400658d866cb42eb1d566711002efb393d6a87c3949ce212fae
45,Customer_45,51,UK,2133,Senior,2a80074ad4b982c141e13054e8c6a317a9a8dc1929083812bbdf1bcf77d9ecc6
46,Customer_46,41,India,1603,Adult,f4803a8ccd396d6153f77fba3144cd6f7339dd04027473e041fa089645b182b7
47,Customer_47,39,USA,2369,Adult,583adaa09f034d2ce2903aa21af43a6b6478819cdf08f2e3af3c02bea7c0d229
48,Customer_48,33,UK,1127,Adult,4ac231f5734f7d3d8da7d70aeb6eb328cf1595f1e4431b997e77a7d9098fa804
49,Customer_49,35,India,4354,Adult,ae8e78433a5dc91d0eddfe84bcff8c6c244a5009ef235d4bfdcd53f300751416
50,Customer_50,26,UK,3329,Young,15167ddc6aa20601891ff5b7253a56da63809d024e67dba5a8e126523e792f57
51,Customer_51,45,India,4915,Adult,1bef3461e0f7e1f814a2a3b294013cc6e6251533d54ceb6539c114b298c7957e
52,Customer_52,35,India,2134,Adult,c1bf79459e5d161ce16259a8d66057ff8a992849da3c318e39066cb672d324c6
53,Customer_53,51,UK,984,Senior,66e76abc37ac5dfbf4ebc9a8b4b27a4e6d9295c13e969f38044dcc19b0f483f2
54,Customer_54,25,UK,4825,Young,41b70b96132dae243ddb430992c0e4e40f47e399a5fa389d87a485b0edc44381
55,Customer_55,62,USA,2940,Senior,7e5ae093bdddd7b77ac83b077c0c061af2424e1b7dddf8d82de9eac1b31ef85e
56,Customer_56,30,USA,2803,Adult,3884dabe0555fd059509ab18feddf98da7a2a94904e667b36e6a4548bd9725dd
